
%        r/R          C/R     Beta0deg         Ubody
  0.20323      0.12708       14.667       0.0000    
  0.21558      0.12579       13.857       0.0000    
  0.23834      0.12396       12.738       0.0000    
  0.26873      0.12125       11.126       0.0000    
  0.30422      0.11783       9.3275       0.0000    
  0.34292      0.11418       7.8442       0.0000    
  0.38348      0.11037       6.5644       0.0000    
  0.42499      0.10645       5.4702       0.0000    
  0.46680      0.10252       4.5415       0.0000    
  0.50843      0.98601E-01   3.7523       0.0000    
  0.54952      0.94736E-01   3.1058       0.0000    
  0.58977      0.90949E-01   2.5276       0.0000    
  0.62894      0.87265E-01   2.0892       0.0000    
  0.66683      0.83700E-01   1.7544       0.0000    
  0.70327      0.80273E-01   1.4763       0.0000    
  0.73810      0.76998E-01   1.2658       0.0000    
  0.77119      0.73887E-01   1.0752       0.0000    
  0.80239      0.70952E-01  0.88337       0.0000    
  0.83161      0.68203E-01  0.70126       0.0000    
  0.85875      0.65654E-01  0.55655       0.0000    
  0.88370      0.63311E-01  0.45692       0.0000    
  0.90639      0.61166E-01  0.37529       0.0000    
  0.92674      0.59230E-01  0.29472       0.0000    
  0.94470      0.57553E-01  0.22040       0.0000    
  0.96019      0.56180E-01  0.15886       0.0000    
  0.97317      0.55097E-01  0.11110       0.0000    
  0.98361      0.54252E-01  0.74695E-01   0.0000    
  0.99146      0.53591E-01  0.47052E-01   0.0000    
  0.99671      0.53062E-01  0.25705E-01   0.0000    
  0.99934      0.52612E-01  0.81392E-02   0.0000    
 
